age,height_cm,weight_kg,preferred_foot,pace,shooting,passing,dribbling,defending,physic,power_stamina,power_strength,value_eur,overall,potential
33,170,72,Left,85.0,92.0,91.0,95.0,38.0,65.0,72,69,67500000,93,93
35,187,83,Right,89.0,93.0,81.0,89.0,35.0,77.0,84,78,46000000,92,92
31,184,80,Right,78.0,91.0,78.0,85.0,43.0,82.0,76,86,80000000,91,91
28,175,68,Right,91.0,85.0,86.0,94.0,36.0,59.0,81,50,90000000,91,91
29,181,70,Right,76.0,86.0,93.0,88.0,64.0,78.0,89,74,87000000,91,91
21,178,73,Right,96.0,86.0,78.0,91.0,39.0,76.0,86,76,105500000,90,95
28,193,92,Right,76.0,60.0,71.0,71.0,91.0,86.0,75,92,75500000,90,91
28,175,69,Right,94.0,85.0,80.0,90.0,44.0,76.0,88,70,78000000,90,90
28,175,71,Left,93.0,86.0,81.0,90.0,45.0,75.0,85,75,78000000,90,90
32,173,70,Right,78.0,90.0,77.0,88.0,33.0,73.0,78,74,53000000,89,89
34,184,82,Right,71.0,70.0,76.0,73.0,88.0,85.0,81,85,24500000,89,89
32,185,81,Right,74.0,85.0,81.0,86.0,40.0,76.0,78,80,53000000,89,89
28,185,84,Right,65.0,73.0,76.0,72.0,86.0,91.0,90,91,59500000,89,89
25,170,69,Right,93.0,81.0,79.0,90.0,45.0,67.0,79,65,72500000,88,90
25,176,73,Right,71.0,72.0,86.0,84.0,81.0,79.0,95,67,65000000,88,90
26,188,89,Right,68.0,91.0,80.0,80.0,47.0,83.0,84,84,71000000,88,89
26,177,75,Left,85.0,85.0,84.0,92.0,43.0,63.0,78,60,71000000,88,89
30,183,76,Right,54.0,81.0,91.0,81.0,71.0,69.0,75,73,55000000,88,88
29,175,74,Right,88.0,82.0,83.0,92.0,35.0,66.0,82,63,58000000,88,88
29,187,89,Right,75.0,28.0,55.0,68.0,89.0,86.0,70,94,50000000,88,88
29,168,70,Right,77.0,66.0,76.0,81.0,86.0,82.0,96,72,51000000,88,88
20,180,76,Right,83.0,74.0,81.0,91.0,37.0,64.0,77,67,69500000,87,93
21,180,69,Right,80.0,66.0,87.0,80.0,80.0,71.0,88,62,60000000,87,92
25,179,69,Right,77.0,83.0,88.0,85.0,68.0,75.0,94,67,63000000,87,90
26,189,85,Left,63.0,50.0,72.0,68.0,88.0,81.0,72,85,56000000,87,90
26,188,78,Right,67.0,69.0,79.0,77.0,85.0,83.0,88,81,54500000,87,89
26,178,64,Left,82.0,62.0,80.0,80.0,81.0,76.0,95,65,53000000,87,89
25,173,64,Left,81.0,77.0,83.0,92.0,51.0,67.0,93,54,60000000,87,88
35,187,85,Left,66.0,46.0,58.0,60.0,90.0,79.0,54,87,15500000,87,87
33,182,86,Right,70.0,90.0,82.0,83.0,51.0,83.0,78,85,31500000,87,87
34,172,66,Right,73.0,76.0,89.0,88.0,71.0,66.0,84,58,24500000,87,87
32,180,69,Left,83.0,81.0,85.0,88.0,48.0,68.0,78,60,39000000,87,87
31,187,80,Right,93.0,86.0,75.0,80.0,38.0,69.0,80,74,45000000,87,87
31,189,76,Right,42.0,62.0,80.0,80.0,83.0,77.0,81,75,38000000,87,87
30,185,85,Right,84.0,88.0,67.0,83.0,39.0,77.0,78,77,48500000,87,87
29,176,73,Left,79.0,85.0,84.0,88.0,57.0,72.0,86,63,50500000,87,87
27,183,78,Right,88.0,86.0,80.0,87.0,43.0,69.0,87,64,52500000,87,87
28,181,76,Right,77.0,80.0,81.0,90.0,61.0,78.0,88,74,52000000,87,87
27,191,81,Right,82.0,49.0,64.0,64.0,87.0,82.0,75,86,46500000,86,88
27,191,84,Right,73.0,81.0,86.0,85.0,66.0,85.0,83,89,50000000,86,87
27,165,60,Right,64.0,60.0,85.0,90.0,79.0,67.0,76,53,50000000,86,87
